ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EDU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EDU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EDU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EDU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
87,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0.586928125,1218.918987,11.31895462,259.1346493,2.68E-05,0.055597472,0.000516281,0.011819679,0,0.049673203,0,0.010457517,0.000595622,0.038140459,0.000911975,0.006994208,1,19029,664.392,0.000481515,0.00928606,2.13E-01,3.08E-05,0.000594827,1.36E-02,2.53E-08,4.88E-07,1.12E-05
88,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,289.3973941,8963.361024,223.0836692,1527.913772,0.004851672,0.150268421,0.00373994,0.025615078,0,0.152941182,0.002614379,0.023529412,0.010749677,0.08479308,0.003753274,0.017023172,1,54181,1262.74,0.032286705,0.024888395,1.70E-01,0.005341308,0.004117378,2.82E-02,5.96E-07,4.59E-07,3.15E-06
90,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,184.9882404,2766.90857,51.16993662,529.6627618,0.006489222,0.097060672,0.001794995,0.018580095,0,0.083660133,0.00130719,0.018300654,0.018508022,0.068674172,0.00204754,0.008864964,1,24143,1073.486,0.066857374,0.018493541,1.91E-01,0.007662189,0.002119452,2.19E-02,2.77E-06,7.66E-07,7.93E-06
90,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,21.60784377,985.0562355,36.98954391,291.4065449,0.001531277,0.069807684,0.002621327,0.02065102,0,0.061437909,0.00130719,0.018300654,0.006374369,0.044905862,0.00347048,0.014413225,2,11845,518.692,0.021935645,0.037550693,2.96E-01,0.001824216,0.003122798,2.46E-02,1.85E-06,3.17E-06,2.50E-05
90,3,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,264.3372621,3512.496823,70.05882637,515.7516504,0.009296847,0.12353592,0.002463997,0.018139192,0,0.125490204,0.00130719,0.018300654,0.022321033,0.078506168,0.002732428,0.009379885,3,24794,839.812,0.075256228,0.019945591,1.47E-01,0.01066134,0.002825636,2.08E-02,3.04E-06,8.04E-07,5.92E-06
93,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0,955.1830335,46.51764891,142.7294165,0,0.09189754,0.004475433,0.013731905,0,0.098039217,0.003921569,0.013071896,0,0.05557694,0.003962397,0.007437036,1,8524,401.234,0,0.048700246,1.49E-01,0,0.005457256,1.67E-02,0.00E+00,5.71E-06,1.75E-05
93,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0.006535948,3322.896816,162.1424896,380.2222345,2.86E-07,0.145269599,0.007088506,0.016622464,0,0.15947713,0.007843138,0.015686275,3.12E-05,0.08208061,0.005627434,0.008112512,2,19949,643.876,1.97E-06,0.048795523,1.14E-01,3.28E-07,0.00812785,1.91E-02,9.86E-11,2.45E-06,5.74E-06
93,3,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,27.67189622,1179.737288,49.83921769,199.5111175,0.002268746,0.096723562,0.004086187,0.016357393,0,0.098039217,0.002614379,0.015686275,0.008393324,0.058279313,0.003919774,0.008218079,3,10247,431.412,0.023455982,0.042246031,1.69E-01,0.002700488,0.004863786,1.95E-02,2.29E-06,4.12E-06,1.65E-05
96,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0,994.8627716,22.30196166,223.4954321,0,0.070467685,0.001579683,0.015830531,0,0.06666667,0.00130719,0.013071896,0,0.040284914,0.002014733,0.010576513,1,11983,467.966,0,0.022417124,2.25E-01,0,0.001861133,1.87E-02,0.00E+00,1.87E-06,1.87E-05
99,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0.037908498,2013.25757,38.72810619,257.9895507,2.52E-06,0.134002767,0.002577749,0.017171828,0,0.142483667,0.002614379,0.015686275,0.000138617,0.081043915,0.002488294,0.009425845,1,12810,481.138,1.88E-05,0.019236538,1.28E-01,2.96E-06,0.003023271,2.01E-02,1.47E-09,1.50E-06,1.00E-05
