ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
43,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,4943.494253,4496.900791,2879.226221,0.134656087,0.122491305,0.078427387,0.105882354,0.129411772,0.070588239,0.089988943,0.042316429,0.044700914,1,32415,1039.53,1.561843511,4.68E-05,4.25E-05,2.42E-06,3.99E-06,2.18E-06,3.39E-05,9.24E-10,8.40E-10
47,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,15786.44355,30119.146,20453.9548,0.112878027,0.215361348,0.146252197,0.101960786,0.237908497,0.141176477,0.07611849,0.082719788,0.073809248,1,130591,2348.594,1.472534104,5.52E-06,1.05E-05,1.12E-06,1.82E-06,1.08E-06,4.01E-06,2.87E-11,5.48E-11
51,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,700.494137,521.2849817,262.9712488,0.094228428,0.070121736,0.035374125,0.070588239,0.06797386,0.027450981,0.070992478,0.017963953,0.025677578,1,5470,513.246,1.982288878,0.000358322,0.000266652,6.47E-06,1.24E-05,5.02E-06,0.000245664,3.30E-08,2.46E-08
52,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,351.3804036,736.8444635,20.0588242,0.036507055,0.076555269,0.002084034,0.035294119,0.071895428,0.002614379,0.009169117,0.027382968,0.000855101,1,7590,472.864,36.73418024,0.00182,0.003816538,2.75E-07,9.47E-06,3.44E-07,6.28E-05,6.53E-09,1.37E-08
60,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,2400.098106,1830.118997,616.8849846,0.112617216,0.085872701,0.028945429,0.101960786,0.084967323,0.013071896,0.058238587,0.022300162,0.033834249,1,17818,878.652,2.966710234,0.000182558,0.000139204,1.62E-06,4.77E-06,7.34E-07,7.36E-05,3.45E-09,2.63E-09
61,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,3847.584418,5606.455034,2315.827514,0.111566225,0.1625672,0.067150738,0.094117649,0.173856214,0.060130719,0.072823811,0.060102638,0.039486446,1,31143,723.054,2.420929452,4.82E-05,7.02E-05,2.16E-06,5.58E-06,1.93E-06,2.20E-05,6.39E-10,9.31E-10
64,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,4689.1766,8281.283895,6337.287756,0.080981911,0.143017475,0.109444732,0.062745102,0.149019614,0.105882354,0.06183233,0.046140328,0.049062156,1,53491,956.938,1.306755226,1.28E-05,2.26E-05,2.05E-06,2.79E-06,1.98E-06,1.06E-05,1.83E-10,3.23E-10
64,2,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,22143.31826,27789.2281,21844.71301,0.142848137,0.179270307,0.140921813,0.117647059,0.185620919,0.128104582,0.093261508,0.060119733,0.07867045,2,146529,2001.316,1.272126033,6.54E-06,8.21E-06,9.62E-07,1.27E-06,8.74E-07,5.44E-06,3.51E-11,4.40E-11
69,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,1421.337296,1614.419652,1086.526828,0.063805768,0.072473498,0.04877567,0.047058824,0.070588239,0.039215688,0.044728458,0.017970789,0.029593464,1,19001,768.404,1.485853465,5.87E-05,6.67E-05,2.57E-06,3.71E-06,2.06E-06,4.63E-05,2.08E-09,2.36E-09
70,1,Male,KO,BZ22,+,FL/FL FL/FL,6HR,NOUV,1,196.356869,417.9228884,291.6170016,0.033697764,0.071721793,0.050045821,0.031372551,0.070588239,0.047058824,0.008738659,0.013476687,0.016974667,1,4102,426.482,1.433122507,0.000115555,0.000245945,1.22E-05,1.72E-05,1.15E-05,0.000114539,1.97E-08,4.18E-08
