gene,FPKM.refGTF_NoRad_CD24Pos_1,FPKM.refGTF_NoRad_CD24Pos_2,FPKM.refGTF_Rad_CD24Neg_3,FPKM.refGTF_Rad_CD24Neg_1,FPKM.refGTF_Rad_CD24Neg_2,FPKM.refGTF_Rad_CD24Pos_1,FPKM.refGTF_Rad_CD24Pos_2,FPKM.refGTF_Rad_CD24Pos_3
Slco1a5,0,0,0,0,0,0,0,0
Slco1a6,0,0,0.012734,0,0.020397,0,0.033462,0
Slco1b2,0,0,0.007142,0,0,0,0.007129,0
Slco1c1,0,0,0,0,0.009088,0,0,0
Slco2a1,0.596416,1.629574,20.377951,10.80694,9.465104,0.755444,1.88355,2.519219
Slco2b1,1.678406038,2.927345563,7.479981366,13.7206212,10.92893221,3.378068387,4.009852578,1.995430702
Slco3a1,1.793880604,2.776719948,0.841646238,1.434825947,0.757686636,3.427864151,3.384963011,3.642225106
Slco4a1,0.905894,1.881624,2.45768,3.801001,2.667404,1.635212,2.22758,1.637093
Slco4c1,0,0,0,0,0,0,0,0
Slco5a1,0.023408,0.008308,0.005643,0.008452,0,0.047017,0.022158,0.01309
Slco6b1,0,0,0,0,0,0,0,0
