ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
51,1,0HR,FEMALE,WT,CX23,IR,1,61.42745327,258.3359549,0.8679738818,130.7503313,0.01702534736,0.07160087442,0.0002405692577,0.03623900536,0.01568627544,0.07058823854,0,0.03660130873,0.00465570634,0.01773342225,0.0005065531161,0.006593476065,1,2336,294.54,0.2377812771,0.003359864801,0.5061251786,0.02629599883,0.0003715641617,0.05597188841,0.0001017899302,0.000001438298288,0.0002166631758
56,1,0HR,FEMALE,WT,CX23,IR,1,2236.764777,6144.504736,20.06405288,4033.479845,0.0276858162,0.07605432209,0.0002483451483,0.04992486596,0.02352941222,0.07450980693,0,0.04444444552,0.0131318589,0.02474248304,0.0005132074448,0.01835417599,1,74352,1507.356,0.3640268619,0.003265365353,0.6564369333,0.03008345138,0.0002698522283,0.05424843778,0.00000489599287,0.00000004391765323,0.000008828773043
58,1,0HR,FEMALE,WT,CX23,IR,1,86.9960814,318.9464143,1.393464093,192.6692866,0.01873704101,0.0686940371,0.0003001214933,0.04149672338,0.01960784383,0.06797385961,0,0.04183006659,0.005494351777,0.01918458524,0.0005497661124,0.007129072259,1,3269,329.922,0.2727608072,0.004368959897,0.6040804286,0.0266124446,0.000426266165,0.05893829508,0.00008343860727,0.000001336482073,0.0001847905869
61,1,0HR,FEMALE,WT,CX23,IR,1,801.9059079,2759.264126,16.83137305,1149.937291,0.02765765013,0.09516672849,0.00058051228,0.0396612158,0.02352941222,0.0941176489,0,0.03921568766,0.01968200507,0.03538064122,0.0006874072293,0.007458683696,1,25434,816.926,0.290623105,0.006099949942,0.4167550617,0.0315288947,0.0006617666527,0.04521260088,0.00001142655913,0.0000002398344713,0.00001638574592
63,1,0HR,FEMALE,WT,CX23,IR,1,735.7019841,2363.908555,8.335947958,1137.989572,0.02839451888,0.09123537458,0.0003217270536,0.04392086345,0.02352941222,0.09150326997,0,0.04444444552,0.01891625295,0.02765451515,0.0005648260195,0.007424696099,1,21965,974.868,0.311222692,0.003526341127,0.4814016893,0.03349428564,0.0003795104921,0.05180922249,0.00001416902763,0.0000001605436434,0.00002191676255
64,1,0HR,FEMALE,WT,CX23,IR,1,648.698061,2205.009207,8.461438158,1248.501998,0.02170720322,0.07378561127,0.0002831427573,0.04177827592,0.01960784383,0.07058823854,0,0.04183006659,0.01345066344,0.02388340303,0.0005392141974,0.008213940788,1,26758,690.5,0.2941929035,0.003837370896,0.5662116935,0.02424314452,0.0003162208744,0.04665901777,0.00001099457745,0.0000001434102286,0.00002116046392
64,2,0HR,FEMALE,WT,CX23,IR,1,364.203933,1130.1216,6.070588414,748.1281215,0.02331502036,0.07234630305,0.0003886171445,0.04789246025,0.02352941222,0.071895428,0,0.04705882445,0.006975012278,0.01834879584,0.0006007586478,0.008341439758,2,12433,769.13,0.3222696859,0.005371624093,0.6619890475,0.02929332687,0.0004882641691,0.0601727758,0.0000259205088,0.0000004320456923,0.00005324451439
71,1,0HR,FEMALE,WT,CX23,IR,1,935.7804208,2185.058881,7.572549243,1582.020959,0.03701516636,0.08643087224,0.0002995351941,0.06257746761,0.03529411927,0.08496732265,0,0.05751634017,0.01731482966,0.02769050302,0.0005498805988,0.02127742619,1,21401,925.206,0.4282632513,0.003465604203,0.7240175412,0.04372601378,0.0003538409066,0.07392275868,0.00002001136635,0.0000001619365545,0.0000338310145
71,2,0HR,FEMALE,WT,CX23,IR,1,488.8980537,502.8915178,2.498039289,530.384329,0.07099884602,0.07303100753,0.0003627707362,0.07702357377,0.06666667014,0.071895428,0,0.06274510175,0.03304634463,0.01639786932,0.000587865028,0.03835419521,2,4926,505.558,0.9721739906,0.004967352204,1.054669467,0.09924848837,0.0005071131322,0.1076703875,0.0001973556619,0.000001008394682,0.000214102612
71,3,0HR,FEMALE,WT,CX23,IR,1,1110.251013,2413.620978,13.30588275,2225.87457,0.03739729902,0.08129954789,0.0004481906072,0.07497556486,0.03529411927,0.08104575425,0,0.0601307191,0.01361246052,0.02254232034,0.0006265722319,0.03877234908,3,26105,837.028,0.4599939359,0.005512830253,0.9222137983,0.04253020545,0.0005097062917,0.08526621604,0.00001762091308,0.0000002111790941,0.00003532709436
