ImageNumber,ObjectNumber,Metadata_Day,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Stain,Metadata_Treatment,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
56,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,33.88627571,629.9124345,68.8679757,0.023529412,0.003852464,0.07161351,0.007829465,2.68E-06,0,0.06797386,0,0,0.010821095,0.030515222,0.02279552,0.000127715,1,6621,520.762,0.053795216,0.109329443,3.73535E-05,0.005118,0.010401446,3.55376E-06,8.12494E-06,1.65125E-05,5.64167E-09,0.17957884,0.067638976,0.000144932,3.484146138,0.988905561,0.00035785,1.578655044,0.542222085,0.00025528,7.812440657,1.342481893,0.000197261
56,2,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,0.478431399,256.4836668,52.07581846,0.013071896,0.000134202,0.071944928,0.014607523,3.67E-06,0,0.070588239,0,0,0.001033957,0.03792548,0.029292975,0.000131308,2,2434,234.744,0.001865348,0.203037562,5.09658E-05,0.000196562,0.02139516,5.37054E-06,7.66372E-07,8.34172E-05,2.09391E-08,0.002535426,0.051146487,8.05176E-05,0.120812721,1.83651328,0.000488258,0.060629794,1.115318751,0.000385787,0.736895742,6.781889433,0.000732137
57,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,179.772556,18421.67111,4080.976584,0.433986944,0.002231176,0.228633303,0.050649431,5.39E-06,0,0.241830066,0.039215688,0,0.006847228,0.088655609,0.048824229,0.00019875,1,74417,1384.426,0.009758754,0.221531291,2.35585E-05,0.002415746,0.054839305,5.83183E-06,1.31136E-07,2.97689E-06,3.16574E-10,0.952696819,4.008148525,0.002673183,0.632043651,2.003792567,0.000225693,0.745140596,2.858744999,0.000418923,0.126092388,0.242023651,1.1069E-05
57,2,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,51.10588412,676.6313899,7.924183278,0.826143821,0.008203192,0.10860857,0.00127194,0.000132607,0,0.098039217,0,0,0.015405017,0.066294499,0.00476285,0.001177588,2,4715,348.992,0.075529875,0.011711226,0.001220966,0.010839,0.001680633,0.000175216,1.60191E-05,2.48382E-06,2.58954E-07,0.270833404,0.00778277,0.005088709,4.891831265,0.105930264,0.01169698,3.343306543,0.087610526,0.012586458,15.4029437,0.201936843,0.009054319
59,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,148.5176518,893.8954482,115.2104608,0.047058825,0.017874311,0.107581592,0.013865743,5.66E-06,0.007843138,0.084967323,0,0,0.027005551,0.080316209,0.025015317,0.000162145,1,6248,457.654,0.166146558,0.128885835,5.26447E-05,0.023770431,0.018439574,7.53182E-06,2.6592E-05,2.06283E-05,8.42584E-09,0.787062818,0.113154445,0.000289863,10.76078743,1.165796832,0.000504341,7.332026782,0.961245602,0.00054104,25.56919104,1.677100373,0.00029461
59,2,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,317.9568729,3082.758252,195.9268032,0.081045754,0.01673017,0.162207748,0.010309224,4.26E-06,0.007843138,0.156862751,0,0,0.023660528,0.097701531,0.020283459,0.000145604,2,16495,540.87,0.103140385,0.063555682,2.629E-05,0.019275955,0.011877951,4.91335E-06,6.25283E-06,3.85303E-06,1.59382E-09,1.684998579,0.192430344,0.000499209,6.680076747,0.574873205,0.000251861,5.945698553,0.619191528,0.000352945,6.012333864,0.313254236,5.57279E-05
61,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,677.7882558,5452.359617,223.8274575,13.15294162,0.026011753,0.209247404,0.008589917,0.000504776,0.007843138,0.186928108,0,0,0.036181271,0.142800436,0.018942893,0.003030661,1,22956,715.296,0.124310996,0.041051485,0.002412339,0.029525538,0.009750281,0.000572963,5.41519E-06,1.78827E-06,1.05085E-07,3.591909298,0.21983309,0.081016762,8.051230326,0.37131847,0.023110462,9.107198716,0.508277188,0.041158188,5.206909046,0.145387658,0.003674313
63,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,192.4039278,2842.824909,1029.158198,1.346405273,0.010320438,0.152487524,0.055203465,7.22E-05,0,0.162091509,0.020915033,0,0.022783561,0.08625211,0.067999689,0.001080223,1,16066,565.284,0.067680541,0.362019551,0.000473615,0.011975845,0.064058148,8.38046E-05,4.21266E-06,2.25333E-05,2.94794E-08,1.019636223,1.010792105,0.008293308,4.383454728,3.274535541,0.004537284,3.693968268,3.339318538,0.006020015,4.05063135,1.83197335,0.001030747
63,2,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,435.6353092,20054.85414,4338.226265,1.181699388,0.00454606,0.209281874,0.04527144,1.23E-05,0,0.216993466,0.024836602,0,0.015952182,0.085958779,0.052830848,0.000418531,2,89434,1423.942,0.021722188,0.216318016,5.89234E-05,0.004871026,0.048507573,1.32131E-05,2.42885E-07,2.41874E-06,6.58847E-10,2.308630319,4.260807395,0.007278787,1.406877452,1.956637508,0.000564492,1.502475529,2.528675014,0.000949148,0.233543385,0.196645913,2.30366E-05
64,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,2.235294225,484.5568739,127.1725525,0,0.00069592,0.150858304,0.039592949,0,0,0.163398698,0.026143791,0,0.002702,0.069524537,0.04070978,0,1,2061,228.222,0.004613069,0.26245124,0,0.001084568,0.061704295,0,2.23827E-06,0.000127342,0,0.011845844,0.124903064,0,0.29877389,2.373921272,0,0.334536642,3.21661342,0,2.152180074,10.3529836,0
