ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Secondary Treatment,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
144,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,876.0823808,14533.09061,778.9150564,1132.632716,0.01326573463,0.2200616376,0.01179441644,0.01715044769,0,0.236601308,0.003921568859,0.01568627544,0.02428172806,0.1138193988,0.01619465403,0.0130972748,1,59896,1499.834,0.06028190454,0.0535959678,0.07793474534,0.0000002214794749,0.0000001969149266,0.0000002863371124,0.00000100644291,0.0000008948171465,0.00000130116778
146,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,265.7215783,7883.659038,592.7163586,1052.786961,0.004430760659,0.1314556633,0.009883218145,0.01755464152,0,0.1294117719,0.002614379162,0.01307189558,0.01021531525,0.06435135947,0.01566474353,0.02069691501,1,54315,1262.676,0.03370536156,0.07518290121,0.1335403974,0.00000008157526759,0.0000001819611184,0.0000003232006171,0.0000006205534669,0.00000138420144,0.000002458628324
148,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,9.400000439,612.6078595,7.239215947,81.03268249,0.001398393401,0.09113476041,0.001076943759,0.01205484714,0,0.08104575425,0,0.01045751665,0.003573677376,0.06017470146,0.003481116181,0.00769046916,1,5135,346.508,0.01534423742,0.01181704713,0.1322749639,0.0000002723258813,0.0000002097261458,0.000002347584643,0.000002988166975,0.000002301275001,0.00002575948664
150,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,369.6666805,13921.29577,605.1895629,1070.716375,0.004458596333,0.1679064993,0.007299267442,0.01291404488,0,0.1830065399,0.002614379162,0.01045751665,0.008696274757,0.08140253072,0.009279951299,0.01157287601,1,76046,1803.928,0.02655404258,0.04347221502,0.0769121203,0.00000005863025448,0.00000009598489653,0.000000169818858,0.0000003491839489,0.0000005716568264,0.000001011389426
154,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,55.27843385,2307.794833,104.3163432,644.8549217,0.001889667174,0.07889087726,0.003566004965,0.02204406118,0,0.071895428,0,0.01830065437,0.004595631154,0.0452554356,0.009041720855,0.01967965101,1,26016,745.984,0.02395292384,0.04520174053,0.2794247186,0.00000007263480837,0.0000001370696865,0.0000008473270748,0.0000009206997169,0.000001737459276,0.00001074049503
172,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,653.0706129,24310.74052,966.4039532,2273.602687,0.004871879782,0.1813571196,0.007209333551,0.01696098208,0,0.180392161,0.001307189581,0.01307189558,0.009321273745,0.08781305281,0.01115962877,0.01540486784,1,124359,2263.41,0.0268634603,0.03975213969,0.0935225599,0.00000003917593244,0.00000005797194856,0.0000001363872504,0.0000002160154094,0.0000003196563151,0.0000007520369246
175,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,1516.451021,3314.720349,92.89673495,394.7320395,0.04295408513,0.09389078715,0.002631337382,0.01118094379,0.01568627544,0.08496732265,0,0.01045751665,0.05678638694,0.05158755349,0.008333883674,0.007473125658,1,31597,812.608,0.457489882,0.02802551201,0.1190845676,0.000001359435552,0.00000008327807647,0.0000003538609295,0.00001447890249,0.0000008869674971,0.000003768856778
183,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,502.9764867,3029.193544,37.8339882,977.775192,0.01596953539,0.09617708737,0.001201231528,0.03104442444,0.007843137719,0.08888889104,0,0.02352941222,0.02533620758,0.05076068576,0.004707380402,0.02578177839,1,27627,902.27,0.166043034,0.012489789,0.3227839944,0.00000057804088,0.00000004348034633,0.000001123698716,0.000006010172441,0.0000004520863286,0.00001168364261
185,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,190.9764781,2797.427525,44.39608004,1071.717679,0.005155813237,0.07552246228,0.001198565914,0.02893328147,0,0.07058823854,0,0.02352941222,0.008830744525,0.03717408547,0.004035759862,0.0214411193,1,32739,1048.212,0.06826860621,0.01587032359,0.3831082912,0.0000001574823066,0.0000000366097289,0.0000008837558103,0.000002085237979,0.0000004847528509,0.0000117018935
193,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,2344.925564,29641.55897,102.8169971,5178.951785,0.01582367056,0.2000226665,0.0006938140446,0.03494781589,0.003921568859,0.200000003,0,0.02875817008,0.03133209849,0.1009284878,0.00328312805,0.03210720058,1,137780,2568.396,0.07910938715,0.003468677109,0.1747192781,0.0000001148473694,0.000000005035665877,0.0000002536494113,0.0000005741717749,0.00000002517547619,0.000001268103339
